epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7080.4,0.48418,0.71915,0.28001,0.84666,0.97158,0.9773,0.98021,0.85299,0.97041,0.97613,0.9795,0.79332,0.58075,0.85598,0.31763,0.93634,0.00016516,0.00016516,0.00016516
43,7248.76,0.48006,0.71235,0.27723,0.84406,0.97772,0.97911,0.98135,0.85102,0.97772,0.9791,0.9806,0.79322,0.59028,0.8655,0.31438,0.93559,0.000162408,0.000162408,0.000162408
44,7417.18,0.48045,0.71258,0.27967,0.84548,0.96528,0.9593,0.97734,0.84966,0.96393,0.95827,0.97604,0.79145,0.57986,0.8688,0.34237,0.93016,0.000159655,0.000159655,0.000159655
45,7585.02,0.47548,0.71028,0.27662,0.84291,0.9567,0.97451,0.97767,0.85192,0.96783,0.96057,0.97595,0.79496,0.57587,0.8634,0.33432,0.93498,0.000156903,0.000156903,0.000156903
46,7753.71,0.47073,0.70052,0.27519,0.84116,0.97362,0.9762,0.98149,0.85338,0.97314,0.97443,0.98009,0.79236,0.58832,0.87809,0.3145,0.94341,0.000154151,0.000154151,0.000154151
47,7922.02,0.46765,0.70011,0.27252,0.83891,0.97208,0.97505,0.97941,0.85075,0.97118,0.97355,0.97803,0.79372,0.5931,0.884,0.324,0.95137,0.000151399,0.000151399,0.000151399
48,8090.21,0.46265,0.69636,0.26782,0.83803,0.97372,0.97702,0.98206,0.85362,0.97257,0.97578,0.98116,0.7979,0.58902,0.89054,0.31947,0.94451,0.000148647,0.000148647,0.000148647
49,8257.91,0.45974,0.69586,0.26856,0.83838,0.97724,0.97653,0.98082,0.84743,0.97622,0.97523,0.9799,0.79251,0.60051,0.88208,0.32212,0.95127,0.000145894,0.000145894,0.000145894
50,8425.96,0.45898,0.69309,0.26721,0.83587,0.9787,0.97806,0.98216,0.85392,0.9787,0.97806,0.98193,0.79861,0.5904,0.87568,0.31211,0.94494,0.000143142,0.000143142,0.000143142
51,8593.76,0.45433,0.68487,0.26663,0.83606,0.97099,0.97598,0.98174,0.85228,0.97,0.9738,0.98016,0.79257,0.58844,0.89649,0.31501,0.95112,0.00014039,0.00014039,0.00014039
52,8762.42,0.45029,0.68053,0.26241,0.83294,0.97311,0.97533,0.98002,0.85601,0.97252,0.97519,0.97978,0.7973,0.57651,0.89307,0.31005,0.93842,0.000137638,0.000137638,0.000137638
53,8930.68,0.44636,0.68067,0.26009,0.83211,0.97284,0.9748,0.98217,0.84977,0.97166,0.97363,0.98135,0.79337,0.59472,0.92113,0.31512,0.95194,0.000134886,0.000134886,0.000134886
54,9098.77,0.44227,0.67453,0.25663,0.83087,0.97624,0.97785,0.98114,0.85505,0.97529,0.97639,0.98009,0.7954,0.58662,0.91263,0.30885,0.95087,0.000132133,0.000132133,0.000132133
55,9266.42,0.44009,0.67249,0.25657,0.83046,0.97435,0.9727,0.98129,0.85508,0.97318,0.9718,0.98091,0.79569,0.58263,0.89521,0.31213,0.94838,0.000129381,0.000129381,0.000129381
56,9434.33,0.43863,0.66656,0.25668,0.82961,0.97433,0.97395,0.98106,0.85382,0.97328,0.97264,0.97961,0.79632,0.58448,0.90121,0.31816,0.94578,0.000126629,0.000126629,0.000126629
57,9602.74,0.43438,0.66355,0.25517,0.82817,0.97569,0.97776,0.98265,0.8552,0.97484,0.97657,0.98186,0.79722,0.58452,0.9095,0.30991,0.94973,0.000123877,0.000123877,0.000123877
58,9771.12,0.43409,0.66665,0.25271,0.82804,0.97103,0.97214,0.97771,0.85162,0.96881,0.97134,0.97674,0.79203,0.58352,0.92162,0.32341,0.94923,0.000121125,0.000121125,0.000121125
59,9938.82,0.42809,0.65736,0.24885,0.82699,0.97341,0.97562,0.97959,0.85377,0.97278,0.97409,0.97928,0.79285,0.58538,0.9239,0.31435,0.95274,0.000118372,0.000118372,0.000118372
60,10106.7,0.42266,0.65166,0.24713,0.82552,0.97379,0.97551,0.98137,0.8544,0.9715,0.975,0.97955,0.79626,0.58782,0.917,0.312,0.95277,0.00011562,0.00011562,0.00011562
61,10275.3,0.42067,0.64976,0.2466,0.82272,0.97189,0.96553,0.97771,0.84993,0.97141,0.96427,0.97725,0.79123,0.59096,0.93514,0.32723,0.96213,0.000112868,0.000112868,0.000112868
62,10443.2,0.4204,0.64776,0.24559,0.8236,0.97101,0.96748,0.97676,0.84854,0.96942,0.96569,0.97551,0.79057,0.59429,0.9288,0.33092,0.95581,0.000110116,0.000110116,0.000110116
63,10611.2,0.41558,0.64038,0.24441,0.82176,0.97739,0.97583,0.98168,0.8546,0.97597,0.97386,0.97888,0.79393,0.58893,0.93891,0.30528,0.95697,0.000107364,0.000107364,0.000107364
64,10779.3,0.41336,0.63875,0.24303,0.82125,0.97206,0.97347,0.98081,0.85448,0.97123,0.97193,0.97931,0.7942,0.58546,0.94264,0.313,0.96083,0.000104611,0.000104611,0.000104611
65,10947.6,0.41237,0.64071,0.24414,0.82118,0.97599,0.97457,0.98228,0.85547,0.97397,0.97315,0.98073,0.79958,0.58787,0.93335,0.30677,0.95883,0.000101859,0.000101859,0.000101859
66,11115.2,0.40634,0.63426,0.23828,0.82027,0.97537,0.97272,0.98115,0.85368,0.97481,0.97215,0.98046,0.7949,0.59197,0.93845,0.31169,0.96123,9.9107e-05,9.9107e-05,9.9107e-05
67,11283.8,0.40321,0.62732,0.23884,0.81878,0.97687,0.97434,0.98131,0.85521,0.97513,0.9726,0.98009,0.79759,0.59252,0.9426,0.30988,0.96801,9.63548e-05,9.63548e-05,9.63548e-05
68,11451.4,0.39969,0.62592,0.2366,0.81825,0.97514,0.97148,0.9801,0.85142,0.974,0.97026,0.9794,0.79413,0.5924,0.95168,0.30571,0.96626,9.36026e-05,9.36026e-05,9.36026e-05
69,11620.7,0.40256,0.6252,0.23904,0.81718,0.97435,0.97611,0.98121,0.85435,0.97319,0.97495,0.98067,0.79679,0.59771,0.94814,0.30711,0.96791,9.08504e-05,9.08504e-05,9.08504e-05
70,11789.4,0.39465,0.62238,0.23251,0.81628,0.97898,0.97634,0.98262,0.85658,0.97779,0.97409,0.98111,0.79899,0.59368,0.95577,0.30161,0.96371,8.80982e-05,8.80982e-05,8.80982e-05
71,11957.7,0.39562,0.62045,0.23427,0.81554,0.97343,0.9771,0.98038,0.85268,0.9717,0.97534,0.97889,0.79361,0.59641,0.96454,0.30652,0.96586,8.5346e-05,8.5346e-05,8.5346e-05
72,12125.9,0.38954,0.61685,0.23217,0.81398,0.97602,0.97302,0.98158,0.85293,0.97472,0.97078,0.98043,0.79513,0.59651,0.9533,0.30782,0.96757,8.25938e-05,8.25938e-05,8.25938e-05
73,12294.2,0.39065,0.61248,0.23153,0.81407,0.97829,0.97653,0.98284,0.85415,0.97677,0.97467,0.98201,0.79893,0.59923,0.96817,0.299,0.96821,7.98416e-05,7.98416e-05,7.98416e-05
74,12462.5,0.38522,0.60605,0.22828,0.81255,0.97558,0.97667,0.98181,0.85502,0.97442,0.9755,0.98137,0.79618,0.59945,0.98351,0.30628,0.97239,7.70894e-05,7.70894e-05,7.70894e-05
75,12630.8,0.38339,0.60532,0.2273,0.81209,0.979,0.97522,0.98264,0.85637,0.97727,0.97348,0.98148,0.80018,0.59242,0.99966,0.29736,0.96651,7.43372e-05,7.43372e-05,7.43372e-05
76,12799.2,0.38074,0.60788,0.22546,0.81214,0.97738,0.978,0.98298,0.85641,0.97564,0.97624,0.98219,0.80022,0.591,0.97311,0.29693,0.96457,7.1585e-05,7.1585e-05,7.1585e-05
77,12967,0.37832,0.60221,0.22489,0.81211,0.97603,0.97768,0.98297,0.85653,0.97487,0.97651,0.98221,0.79668,0.59469,1.00039,0.30232,0.96996,6.88328e-05,6.88328e-05,6.88328e-05
78,13135.9,0.37907,0.59786,0.2245,0.81033,0.97845,0.97569,0.98305,0.85728,0.97681,0.97392,0.98194,0.79853,0.59546,0.9981,0.30221,0.97085,6.60806e-05,6.60806e-05,6.60806e-05
