epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,751.173,1.04757,0.76193,1.06064,0.88306,0.72628,0.77839,0.49609,1.25975,1.14624,1.16711,0.0005456,0.0005456,0.0005456
55,765.214,1.03776,0.76201,1.0496,0.81972,0.74703,0.79749,0.53306,1.22953,1.12197,1.13829,0.0005408,0.0005408,0.0005408
56,779.262,1.05205,0.75616,1.06203,0.73673,0.75958,0.77567,0.50075,1.23265,1.06179,1.13862,0.000536,0.000536,0.000536
57,793.334,1.02465,0.73431,1.04858,0.83624,0.73392,0.81109,0.54119,1.251,1.08328,1.13854,0.0005312,0.0005312,0.0005312
58,807.407,1.01196,0.73589,1.04631,0.75828,0.71163,0.75916,0.50223,1.2988,1.23526,1.15279,0.0005264,0.0005264,0.0005264
59,821.489,1.01276,0.72984,1.0455,0.80202,0.72074,0.78297,0.49042,1.28461,1.2208,1.16063,0.0005216,0.0005216,0.0005216
60,835.663,0.99952,0.6999,1.02664,0.87387,0.65074,0.78104,0.5286,1.25138,1.11631,1.13787,0.0005168,0.0005168,0.0005168
61,849.661,1.00114,0.72579,1.03772,0.74158,0.79103,0.8177,0.51802,1.30018,1.13048,1.14495,0.000512,0.000512,0.000512
62,863.688,1.00252,0.6925,1.03728,0.78945,0.81273,0.84076,0.54786,1.2687,1.19249,1.14979,0.0005072,0.0005072,0.0005072
63,877.655,1.0021,0.70088,1.03589,0.88449,0.6645,0.76967,0.49506,1.27743,1.09839,1.1289,0.0005024,0.0005024,0.0005024
64,891.568,0.98562,0.67825,1.01973,0.86802,0.74004,0.80451,0.51149,1.27244,1.11755,1.14344,0.0004976,0.0004976,0.0004976
65,905.569,0.98939,0.68118,1.02202,0.76994,0.69461,0.77926,0.5059,1.29303,1.08201,1.1335,0.0004928,0.0004928,0.0004928
66,919.496,0.9758,0.68173,1.01777,0.73862,0.75551,0.78892,0.53576,1.25559,1.04271,1.12653,0.000488,0.000488,0.000488
67,933.653,0.98479,0.67271,1.02185,0.84893,0.70888,0.79169,0.50324,1.25796,1.1427,1.15078,0.0004832,0.0004832,0.0004832
68,948.08,0.9789,0.67672,1.02228,0.8441,0.76956,0.80904,0.52956,1.27223,1.06809,1.1323,0.0004784,0.0004784,0.0004784
69,962.191,0.94832,0.65807,1.01127,0.76272,0.77667,0.8002,0.54188,1.21912,0.99322,1.11168,0.0004736,0.0004736,0.0004736
70,976.216,0.93002,0.63482,1.002,0.82105,0.67171,0.8367,0.54487,1.23561,0.94549,1.10128,0.0004688,0.0004688,0.0004688
71,990.183,0.94299,0.64484,1.00523,0.88082,0.73811,0.83324,0.53439,1.24407,1.11577,1.13959,0.000464,0.000464,0.000464
72,1004.52,0.9445,0.6519,1.00324,0.86751,0.73971,0.81633,0.51907,1.2243,1.00976,1.12926,0.0004592,0.0004592,0.0004592
73,1018.86,0.93051,0.64016,1.0007,0.82428,0.75335,0.81858,0.54926,1.24913,1.08676,1.13223,0.0004544,0.0004544,0.0004544
74,1033.05,0.92541,0.63503,0.99898,0.87196,0.74637,0.82187,0.54058,1.23457,1.02585,1.13023,0.0004496,0.0004496,0.0004496
75,1047.14,0.92283,0.63034,0.99132,0.82561,0.74078,0.82068,0.52949,1.27479,1.06878,1.14624,0.0004448,0.0004448,0.0004448
76,1061.19,0.92287,0.63849,0.99914,0.90054,0.72976,0.83841,0.56633,1.27611,1.04979,1.1415,0.00044,0.00044,0.00044
77,1075.55,0.93719,0.63592,1.00534,0.86295,0.76083,0.81934,0.53741,1.26127,1.03981,1.11447,0.0004352,0.0004352,0.0004352
78,1089.73,0.91074,0.62014,0.98684,0.82993,0.76588,0.80791,0.54405,1.24441,1.07877,1.12537,0.0004304,0.0004304,0.0004304
79,1103.86,0.89644,0.60811,0.98249,0.83327,0.78062,0.84502,0.55586,1.26301,1.01397,1.12297,0.0004256,0.0004256,0.0004256
80,1118.04,0.89841,0.60796,0.98451,0.8377,0.71675,0.82478,0.54936,1.24622,1.01225,1.11462,0.0004208,0.0004208,0.0004208
81,1132.31,0.89205,0.59017,0.97764,0.90473,0.68811,0.84003,0.57745,1.17969,0.97807,1.10283,0.000416,0.000416,0.000416
82,1146.45,0.89445,0.60231,0.98234,0.80184,0.73891,0.80781,0.52173,1.22904,1.06108,1.12545,0.0004112,0.0004112,0.0004112
83,1160.54,0.89991,0.60181,0.98089,0.76037,0.75545,0.78976,0.52206,1.24455,1.0161,1.12268,0.0004064,0.0004064,0.0004064
84,1174.7,0.87127,0.59191,0.97913,0.84084,0.71571,0.8055,0.55895,1.19709,0.9952,1.11457,0.0004016,0.0004016,0.0004016
85,1188.9,0.87721,0.58442,0.9742,0.87867,0.7052,0.84625,0.56545,1.22061,0.97576,1.10745,0.0003968,0.0003968,0.0003968
86,1203.07,0.87565,0.58341,0.96852,0.85266,0.73368,0.83164,0.55974,1.24114,1.09814,1.13308,0.000392,0.000392,0.000392
87,1217.27,0.87405,0.5786,0.97223,0.8715,0.80323,0.84186,0.56569,1.24049,0.99368,1.12891,0.0003872,0.0003872,0.0003872
88,1231.47,0.85273,0.56634,0.96295,0.87863,0.7871,0.88582,0.57887,1.17955,0.9553,1.11828,0.0003824,0.0003824,0.0003824
